"station_type","hour_rounded","hour","day","weekend","week","month","quarter","dayOfMonth","interactions"
"Dublin Central","2024-05-02 19:00:00.000","19","Thursday","Weekday","18","May","Q2: Apr - Jun","2","92"
"Dublin Central","2024-05-02 20:00:00.000","20","Thursday","Weekday","18","May","Q2: Apr - Jun","2","127"
"Dublin Central","2024-05-02 21:00:00.000","21","Thursday","Weekday","18","May","Q2: Apr - Jun","2","90"
"Dublin Central","2024-05-02 22:00:00.000","22","Thursday","Weekday","18","May","Q2: Apr - Jun","2","58"
"Dublin Central","2024-05-02 23:00:00.000","23","Thursday","Weekday","18","May","Q2: Apr - Jun","2","30"
"Dublin Central","2024-05-03 00:00:00.000","0","Friday","Weekday","18","May","Q2: Apr - Jun","3","0"
"Dublin Central","2024-05-03 01:00:00.000","1","Friday","Weekday","18","May","Q2: Apr - Jun","3","0"
"Dublin Central","2024-05-03 02:00:00.000","2","Friday","Weekday","18","May","Q2: Apr - Jun","3","0"
"Dublin Central","2024-05-03 08:00:00.000","8","Friday","Weekday","18","May","Q2: Apr - Jun","3","379"
"Dublin Central","2024-05-03 09:00:00.000","9","Friday","Weekday","18","May","Q2: Apr - Jun","3","178"
"Dublin Central","2024-05-03 10:00:00.000","10","Friday","Weekday","18","May","Q2: Apr - Jun","3","127"
"Dublin Central","2024-05-03 11:00:00.000","11","Friday","Weekday","18","May","Q2: Apr - Jun","3","213"
"Dublin Central","2024-05-03 12:00:00.000","12","Friday","Weekday","18","May","Q2: Apr - Jun","3","260"
"Dublin Central","2024-05-03 13:00:00.000","13","Friday","Weekday","18","May","Q2: Apr - Jun","3","218"
"Dublin Central","2024-05-03 14:00:00.000","14","Friday","Weekday","18","May","Q2: Apr - Jun","3","190"
"Dublin Central","2024-05-03 15:00:00.000","15","Friday","Weekday","18","May","Q2: Apr - Jun","3","248"
"Dublin Central","2024-05-03 16:00:00.000","16","Friday","Weekday","18","May","Q2: Apr - Jun","3","261"
"Dublin Central","2024-05-03 17:00:00.000","17","Friday","Weekday","18","May","Q2: Apr - Jun","3","246"
"Dublin Central","2024-05-03 18:00:00.000","18","Friday","Weekday","18","May","Q2: Apr - Jun","3","166"
"Dublin Central","2024-05-03 19:00:00.000","19","Friday","Weekday","18","May","Q2: Apr - Jun","3","116"
"Dublin Central","2024-05-03 20:00:00.000","20","Friday","Weekday","18","May","Q2: Apr - Jun","3","98"
"Dublin Central","2024-05-03 21:00:00.000","21","Friday","Weekday","18","May","Q2: Apr - Jun","3","89"
"Dublin Central","2024-05-03 22:00:00.000","22","Friday","Weekday","18","May","Q2: Apr - Jun","3","96"
"Dublin Central","2024-05-03 23:00:00.000","23","Friday","Weekday","18","May","Q2: Apr - Jun","3","33"
"Dublin Central","2024-05-04 00:00:00.000","0","Saturday","Weekend","18","May","Q2: Apr - Jun","4","0"
"Dublin Central","2024-05-04 01:00:00.000","1","Saturday","Weekend","18","May","Q2: Apr - Jun","4","0"
"Dublin Central","2024-05-04 02:00:00.000","2","Saturday","Weekend","18","May","Q2: Apr - Jun","4","0"
"Dublin Central","2024-05-04 03:00:00.000","3","Saturday","Weekend","18","May","Q2: Apr - Jun","4","0"
"Dublin Central","2024-05-04 04:00:00.000","4","Saturday","Weekend","18","May","Q2: Apr - Jun","4","12"
"Dublin Central","2024-05-04 05:00:00.000","5","Saturday","Weekend","18","May","Q2: Apr - Jun","4","49"
"Dublin Central","2024-05-04 06:00:00.000","6","Saturday","Weekend","18","May","Q2: Apr - Jun","4","58"
"Dublin Central","2024-05-04 07:00:00.000","7","Saturday","Weekend","18","May","Q2: Apr - Jun","4","114"
"Dublin Central","2024-05-04 08:00:00.000","8","Saturday","Weekend","18","May","Q2: Apr - Jun","4","160"
